Film,Movie.Genre,Award,Year_of_Release,IMDB_Votes,IMDB.Rating,Movie.Time
Missing,"Biography,Drama,History",Nominee,1982,20689,7.7,122
Tootsie,"Comedy,Drama,Romance",Nominee,1982,101492,7.4,116
The Verdict,Drama,Nominee,1982,37826,7.7,129
Terms of Endearment,"Comedy,Drama",Winner,1983,57538,7.4,132
The Big Chill,"Comedy,Drama",Nominee,1983,34895,7.2,105
The Dresser,Drama,Nominee,1983,5072,7.6,118
The Right Stuff,"Adventure,Biography,Drama",Nominee,1983,59265,7.8,193
Tender Mercies,"Drama,Music",Nominee,1983,10060,7.4,92
Amadeus,"Biography,Drama,History",Winner,1984,381101,8.3,160
The Killing Fields,"Biography,Drama,History",Nominee,1984,53545,7.8,141
A Passage to India,"Adventure,Drama,History",Nominee,1984,18017,7.3,164
Places in the Heart,Drama,Nominee,1984,11271,7.4,111
A Soldier's Story,"Crime,Drama,Mystery",Nominee,1984,9570,7.2,101
Out of Africa,"Biography,Drama,Romance",Winner,1985,76084,7.2,161
The Color Purple,Drama,Nominee,1985,82027,7.8,154
Kiss of the Spider Woman,Drama,Nominee,1985,15003,7.4,120
Prizzi's Honor,"Comedy,Crime,Drama",Nominee,1985,23681,6.7,130
Witness,"Crime,Drama,Romance",Nominee,1985,90252,7.4,112
Platoon,"Drama,War",Winner,1986,394151,8.1,120
Children of a Lesser God,"Drama,Romance",Nominee,1986,15807,7.2,119
Hannah and Her Sisters,"Comedy,Drama",Nominee,1986,69273,7.9,107
The Mission,"Adventure,Drama,History",Nominee,1986,58975,7.4,125
A Room with a View,"Drama,Romance",Nominee,1985,41517,7.3,117
The Last Emperor,"Biography,Drama,History",Winner,1987,98273,7.7,163
Broadcast News,"Comedy,Drama,Romance",Nominee,1987,28908,7.2,133
Fatal Attraction,"Drama,Thriller",Nominee,1987,80634,6.9,119
Hope and Glory,"Comedy,Drama,Romance",Nominee,1987,13104,7.3,113
Moonstruck,"Comedy,Drama,Romance",Nominee,1987,54964,7.1,102
Rain Man,Drama,Winner,1988,488860,8,133
The Accidental Tourist,"Drama,Romance",Nominee,1988,15488,6.8,121
Dangerous Liaisons,"Drama,Romance",Nominee,1988,66909,7.6,119
Mississippi Burning,"Crime,Drama,History",Nominee,1988,94171,7.8,128
Working Girl,"Comedy,Drama,Romance",Nominee,1988,54343,6.8,113
Driving Miss Daisy,Drama,Winner,1989,104806,7.4,99
Born on the Fourth of July,"Biography,Drama,War",Nominee,1989,101778,7.2,145
Dead Poets Society,"Comedy,Drama",Nominee,1989,446811,8.1,128
Field of Dreams,"Drama,Family,Fantasy",Nominee,1989,113841,7.5,107
My Left Foot,"Biography,Drama",Nominee,1989,71014,7.9,103
